basin,tier,log_resid_var,signed_coverage_error
01013500,humid,0.1676158010959625,0.0949149227459416
01022500,humid,0.0929466411471366,0.0992176804224526
01030500,humid,0.2236899882555008,0.07770389203989836
01031500,humid,0.2137901484966278,0.08454918834343839
01047000,humid,0.158008873462677,0.09413260316839422
01052500,humid,0.1746424287557602,0.09178564443575199
01054200,humid,0.2210734486579895,0.07848621161744573
01055000,humid,0.2929677665233612,0.08298454918834341
01057000,humid,0.2933734953403473,0.031155877175826352
01073000,humid,0.2699699699878692,0.01570506551926476
01078000,humid,0.1418992727994918,0.07574809309602959
01118300,humid,0.4821268022060394,-0.0022336769759450092
01121000,humid,0.2793069779872894,0.016881443298969012
01123000,humid,0.1036193668842315,0.09684077506318434
01134500,humid,0.2047698199748993,0.0949149227459416
01137500,humid,0.1305890828371048,0.09511050264032839
01139000,humid,0.1097500398755073,0.09804420105613154
01139800,humid,0.1976866871118545,0.08865636612556238
01142500,humid,0.1578371971845626,0.08200664971640914
01144000,humid,0.0885067209601402,0.09823978095051822
01162500,humid,0.4380105137825012,0.03448073538040275
01169000,humid,0.1173662841320037,0.09061216506943082
01170100,humid,0.1333752870559692,0.08904752591433596
01181000,humid,0.1708134859800338,0.0949149227459416
01187300,humid,0.2943674921989441,0.016666666666666607
01195100,humid,0.4592437744140625,-0.03416175231676499
01333000,humid,0.1180309951305389,0.09217680422452557
01350000,humid,0.1918489187955856,0.08588879528222393
01350080,humid,0.1964285373687744,0.0294439764111204
01350140,humid,0.4892737865447998,-0.030370682392586335
01365000,humid,0.1607095599174499,0.08652064026958717
01411300,humid,0.0872351005673408,0.09838416481518875
01413500,humid,0.1526710987091064,0.0863100252737996
01414500,humid,0.2133343666791916,0.07978096040438076
01415000,humid,0.2001067250967025,0.071988205560236
01423000,humid,0.1761769950389862,0.08609941027801182
01434025,humid,0.2592260241508484,0.07767481044650382
01435000,humid,0.1366556733846664,0.08652064026958717
01439500,humid,0.2278877347707748,0.09608840211226277
01440000,humid,0.1208962351083755,0.0988265206336788
01440400,humid,0.1383881419897079,0.09432818306278112
01451800,humid,0.216143861413002,0.08728730686485442
01466500,humid,0.072595901787281,0.09782393669634037
01484100,humid,0.1312098354101181,0.05345198513592797
01485500,humid,0.2619431614875793,-0.04433796205750051
01486000,humid,0.3940441012382507,0.05579894386857043
01487000,humid,0.0520927719771862,0.09726188147858394
01491000,humid,0.1889058351516723,0.07809505182867194
01510000,humid,0.2529269456863403,0.091435968930492
01516500,humid,0.4654824435710907,-0.08130256209661646
01518862,humid,0.5401365160942078,0.02372384118912574
01532000,humid,0.5084882378578186,0.010033248582045795
01539000,humid,0.1222252622246742,0.09687072168981037
01542810,humid,1.6563013792037964,0.03487189516917655
01543000,humid,0.3692237734794616,0.08572266770975956
01543500,humid,0.2771897614002228,0.06577351848229995
01544500,humid,0.215643510222435,0.08630940739291992
01545600,humid,0.3012069463729858,0.046606688832387944
01547700,humid,0.3345655798912048,0.053060825347154394
01548500,humid,0.3041412532329559,0.09745746137297073
01549500,humid,0.3567745387554168,0.011793467631527554
01550000,humid,0.3051730394363403,0.07868179151183241
01552000,humid,0.2158861458301544,0.09432818306278112
01552500,humid,0.2363964617252349,0.08513592802659875
01557500,humid,0.2516528666019439,0.08728730686485442
01567500,humid,0.4079846441745758,0.06010170154508121
01568000,humid,0.4142944514751434,0.07105417563074523
01580000,humid,0.1014473438262939,0.09765304126735774
01583500,humid,0.1286853998899459,0.09608840211226277
01586610,humid,0.1555792540311813,0.087678466653628
01591400,humid,0.1896646171808242,0.08298454918834341
01594950,humid,0.8112620711326599,-0.0723058869548211
01596500,humid,0.3132786750793457,0.029395658126344593
01605500,humid,0.1164264008402824,0.08448637316561836
01606500,humid,0.1208868622779846,0.08829186702906122
01613050,humid,0.6927863359451294,-0.07758654410326615
01620500,humid,0.4895097315311432,-0.020086055153530236
01632000,humid,0.7600678205490112,-0.05651631677405944
01632900,humid,0.2147432267665863,0.09245283018867922
01634500,humid,0.7917701601982117,0.05814590260121255
01638480,humid,0.3358456790447235,0.023528261294738728
01639500,humid,0.1641756445169448,0.08239780950518283
01644000,humid,0.397908091545105,-0.06643849012321534
01658500,humid,1.3313134908676147,-0.021846274203011995
01664000,humid,0.1703812181949615,0.08474476823782517
01666500,humid,0.288626879453659,0.08865636612556238
01667500,humid,0.1555907875299453,0.0827889692939564
01669000,humid,0.2657569050788879,0.04445530999413261
01669520,humid,0.6924351453781128,-0.024584392724427917
02011400,humid,0.1888876855373382,0.07320555446900057
02011460,humid,0.2391429096460342,0.07379229415216115
02013000,humid,0.2369083017110824,0.0720320751026794
02014000,humid,0.2990897893905639,0.08200664971640914
02015700,humid,0.2577597796916961,0.09100332485820439
02016000,humid,0.2571663558483124,0.08748288675924121
02017500,humid,0.2136976420879364,0.08161548992763556
02018000,humid,0.2438748031854629,0.08141991003324855
02027000,humid,0.2477743923664093,0.01883434382945437
02027500,humid,0.3733684718608856,0.00044983375708973483
02028500,humid,0.3051073551177978,-0.012262859378055935
02038850,humid,0.1720139384269714,0.046606688832387944
02046000,humid,0.5840100646018982,-0.05920203403090163
02051000,humid,0.3833512365818023,-0.09910033248582051
02051500,humid,0.1714751124382019,0.041717191472716575
02053200,humid,0.7911427617073059,-0.23835321728926273
02053800,humid,0.1599604338407516,0.087678466653628
02055100,humid,0.1813122481107711,0.08943868570310953
02056900,humid,0.1426784098148346,0.08435360844905138
02059500,semi_arid,0.1051324307918548,0.08239780950518283
02064000,humid,0.1568831652402877,0.09432818306278112
02065500,semi_arid,0.110492929816246,0.060884021122628584
02069700,humid,0.0695345848798751,0.09863094073929202
02070000,semi_arid,0.0688071325421333,0.09511050264032839
02074500,semi_arid,0.1007753610610961,0.09295912380207316
02077200,humid,0.5562827587127686,-0.04805398005085082
02081500,humid,0.8952335119247437,-0.15503618228046157
02082950,humid,0.3186510801315307,-0.0838451007236456
02092500,humid,0.6605144143104553,-0.10907490709955014
02096846,humid,0.8599845170974731,-0.44645022491687864
02102908,humid,0.1101192161440849,0.09804420105613154
02108000,humid,0.529112696647644,-0.010307060434187387
02111180,humid,0.146300733089447,0.09550166242910241
02111500,humid,0.074613332748413,0.09790312434472637
02112120,humid,0.0800207629799842,0.09550166242910241
02112360,humid,0.0821580290794372,0.09667514179542336
02118500,humid,0.1484555900096893,0.09374144337962054
02125000,humid,2.648170232772827,-0.23844468784227824
02128000,humid,0.7369753122329712,-0.03221200860551543
02137727,humid,0.1264256834983825,0.09843536084490523
02140991,humid,0.0717852115631103,0.09804420105613154
02143000,humid,0.1022065803408622,0.09687072168981037
02143040,humid,0.1021804735064506,0.08591824760414635
02149000,humid,0.0978288650512695,0.09863094073929202
02152100,humid,0.0801507383584976,0.09413260316839422
02177000,humid,0.0393486022949218,0.09999999999999998
02178400,humid,0.0494599491357803,0.09789385004212303
02193340,humid,0.2590517103672027,-0.17537649129669475
02196000,semi_arid,0.4014066755771637,-0.2798076923076923
02198100,semi_arid,0.8312447667121887,-0.0723058869548211
02202600,humid,0.8447486162185669,-0.3325831507667796
02212600,semi_arid,5.309346675872803,-0.07543516526501082
02215100,humid,0.3167215585708618,0.043281830627811546
02216180,humid,1.440837860107422,-0.48537062389986313
02221525,humid,0.1704538911581039,0.008468609426950935
02231000,humid,0.2911496162414551,-0.07387052610991596
02231342,humid,0.8891699314117432,-0.2263573543928924
02235200,semi_arid,0.4434401988983154,0.005730490905534791
02245500,semi_arid,0.354281336069107,0.038587913162526744
02246000,humid,0.277844488620758,0.04210835126149037
02296500,humid,0.5531914234161377,-0.03964404459221593
02297155,humid,1.0414769649505615,-0.19376100136905927
02297310,semi_arid,0.6277906894683838,-0.0875611187169959
02298123,humid,0.5360375046730042,-0.021846274203011995
02298608,humid,0.6882714033126831,-0.015000977899471968
02299950,humid,0.640445351600647,0.02841775865441043
02300700,semi_arid,0.6302310228347778,0.021181302562096604
02310947,humid,1.484591007232666,-0.4918247604146294
02312200,semi_arid,1.518296480178833,-0.39207901427733227
02314500,humid,0.6381157636642456,-0.2088206532368473
02315500,semi_arid,0.488311767578125,-0.19336984158028558
02324400,humid,1.9620921611785889,-0.32303931155877175
02327100,humid,1.0949866771697998,-0.31443379620575007
02342933,humid,0.8358590602874756,-0.31859308973402933
02349900,humid,0.243238016963005,0.06636025816546054
02350900,humid,0.1935671716928482,0.09902210052806559
02361000,humid,0.1263183057308197,0.09589282221787598
02363000,semi_arid,0.5486834049224854,-0.09440641502053593
02369800,humid,0.1480910331010818,0.08552708781537255
02371500,humid,0.2519901096820831,-0.012654019166829622
02372250,humid,0.2424954026937484,0.00044983375708973483
02374500,humid,0.0948516502976417,0.0992176804224526
02381600,humid,0.1596534252166748,0.039956972423234816
02384540,humid,0.5464468598365784,0.03350283590846859
02395120,humid,0.106672279536724,0.09511050264032839
