huc,n_snow_source,n_snow_target,ks_distance,median_source_log_resid_var,median_target_log_resid_var,var_shift_log_ratio,global_snow_coverage,hscc_snow_coverage,coverage_drop_global_minus_hscc,hscc_shortfall_below_nominal
14,79,16,0.37183544303797467,0.12786507606506348,0.23771928995847702,0.6201149088813469,0.7749037911972103,0.5941767979194233,0.18072699327778696,0.3058232020805767
17,59,36,0.442090395480226,0.15359003841876984,0.2866848558187485,0.6240965845310718,0.9053990604001032,0.7750764063549922,0.130322654045111,0.12492359364500782
10,79,16,0.45569620253164556,0.13197636604309082,0.2465435117483139,0.6249156347261912,0.9547070329804108,0.7971553642174237,0.1575516687629871,0.1028446357825763
13,90,5,0.7333333333333333,0.14197778701782227,0.2933608591556549,0.7257328365193295,0.9455896733815763,0.8748679835712888,0.07072168981028748,0.025132016428711212
16,80,15,0.5875,0.15080136060714722,0.49370869994163513,1.1859821889020417,0.8423097726747606,0.5909135718263286,0.25139620084843195,0.3090864281736714
18,90,5,0.9222222222222223,0.1257462203502655,1.3475364446640015,2.3717675968788554,0.670134950127127,0.4696264424017212,0.2005085077254058,0.43037355759827883
