tier,method,n_basins,mean_basin_coverage,median_basin_coverage,p10_basin_coverage,p25_basin_coverage,p75_basin_coverage,p90_basin_coverage,frac_basins_below_0.85
dry,Global CP,92,0.7502673825747564,0.7955271501070498,0.40573049090553487,0.652796792489732,0.920447877958146,0.983258361040485,0.6086956521739131
dry,HSCC,92,0.8819898282954057,0.9302757676510856,0.6560531977312732,0.8376686876589087,0.9870917269704674,0.998005085077254,0.2826086956521739
semi_arid,Global CP,77,0.8100644117483157,0.8327791902992372,0.5620183845100724,0.7066301584197144,0.9532564052415412,0.9909642088793272,0.5194805194805194
semi_arid,HSCC,77,0.8740622964546401,0.9100332485820458,0.6894191277136711,0.8321924506160767,0.97946411108938,0.9971445335419519,0.2727272727272727
humid,Global CP,407,0.9086920586867395,0.978095051828672,0.7032661842362605,0.8800370061216343,0.9948171327987483,0.9981224330138861,0.20638820638820637
humid,HSCC,407,0.8841180803070078,0.9589282221787601,0.6439663602581654,0.8422648151769998,0.9888519460199492,0.9962839820066497,0.26044226044226043
snow,Global CP,95,0.9488853744274242,0.9953060825347154,0.8516722080970076,0.9759436729904166,0.9992176804224526,1.0,0.08421052631578947
snow,HSCC,95,0.8807113199827233,0.960297281439468,0.5981615489927636,0.8656366125562291,0.985624877762566,0.9942890670839039,0.24210526315789474
