tier,mean_width,mean_log_width
humid,2.3369899194912738,1.226616848023372
humid,2.1310199146404347,1.0032265482409557
humid,3.4496003300645173,1.5616107067436056
humid,202426.9536233993,1.5944241936976675
humid,2.689104469760789,1.1247639594865175
humid,3.021466471130965,1.2427592415085005
humid,5.690000659025697,1.648813897537994
humid,3.745835371488884,1.4181368272644466
humid,5.676104932860248,2.0024246088614
humid,5.341050889798393,2.181569993344394
humid,3.871722691957437,1.628881428471615
humid,6.938413297533477,2.386494456262318
humid,4.865072366503096,2.0796139266124296
humid,2.5750025575784394,1.1811127407694426
humid,2.655948352185966,1.2259175838520446
humid,3.038981263269866,1.1645626783394287
humid,1.9627059046102555,1.0647257521221043
humid,3.7379518468133295,1.585906530485073
humid,2.5645653059308646,1.2467103507009103
humid,2.133853725291921,0.9930490435463748
humid,4.46769310446278,2.084639693528221
humid,2.9003810670183827,1.1598122369606574
humid,3.247226064883751,1.2820170299311615
humid,2.994266441851452,1.2546382119994608
humid,6.657692033010199,2.275861446620877
humid,7.073853320312681,2.776660841833973
humid,2.689878434499439,1.17705376412149
humid,3.892136528002131,1.4201139886788992
humid,5.5448826875948765,1.9631435901252985
humid,5.924726285354219,2.466803391339303
humid,4.360081010101882,1.3876249654612425
humid,1.6387209977267656,1.0341011312989798
humid,3.93152846489494,1.419015524863393
humid,4.240921322940499,1.4885106411870026
humid,4.579284980064595,1.6981650039792162
humid,3.2856483558301126,1.3319706401859095
humid,5.408197726906852,1.509624629459566
humid,4.346320867337594,1.2593130894262647
humid,3.0586545995401817,1.2690572836686784
humid,2.134479123317237,0.9907720810206416
humid,2.923761498504321,1.1372665241462667
humid,2.6920465166118954,1.3842551186899372
humid,0.9478954665797636,0.8581121744081364
humid,1.7925835312543583,1.3616265432605672
humid,3.448324314962855,2.300162860098917
humid,2.3741164108020274,1.913390293691155
humid,1.1048977727202691,0.9259703039843208
humid,1.8641248476084444,1.3608055259298724
humid,2.598374902382953,1.3000514723822023
humid,12203.327045019258,2.8877548775560067
humid,3.29793699589898,2.121171093700497
humid,4.2646050971244005,2.211774998813512
humid,2.058144170240824,1.0348382235482647
humid,5.067907038506878,2.128853675718996
humid,2.987737450092221,1.5206839388512174
humid,31072.172079759057,1.8224053910956928
humid,2.7822111549543327,1.4277433460760836
humid,4.0856298297416345,1.96626546064422
humid,3.501582744797452,2.011105931880025
humid,2.033515607344004,1.1952222223247355
humid,4.919550799703309,2.2228302454822524
humid,458336.8685819083,1.6781836930795726
humid,3.4559707058320046,1.4940461269591667
humid,3.4700325129521983,1.396557470112194
humid,2.2801770411749454,1.3817731502259891
humid,35444.45346845617,1.8649959672623455
humid,28552.193745404347,1.6256772123179557
humid,1.4776381666608316,0.9557080431131848
humid,287983.97113891464,0.919249471190296
humid,4529917.20298837,1.4020724351942808
humid,685469.7947604912,1.284247114062426
humid,12.166454757615682,3.174675592838984
humid,4.586753776671833,2.117058916332529
humid,2.1240923032742502,1.4301856760458875
humid,2.0197823457972865,1.2792982079732027
humid,5.516779046389844,3.028074742948941
humid,5.771722162364981,2.542426728605408
humid,25770.02716427577,2.694278976967319
humid,1.284576970541877,1.301803363881521
humid,2.773505825314029,1.858345628344288
humid,522131.3543223455,2.1941864471390784
humid,458698.4470812546,1.3146726197164025
humid,4.635543206579504,2.767803096710621
humid,59312.8119421464,2.674583890422692
humid,1.7174650433549974,1.2801369531103806
