tier,global_coverage,hscc_coverage,n_basins
gb_drier_q4,0.8234289830774452,0.8909725825150683,12.0
gb_mid,0.9191310697334795,0.8917488134355605,12.0
gb_wet,0.9331548395833216,0.9005302054245232,21.0
gb_montane,0.8204819277108433,0.9066812705366921,5.0
